Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S171715577,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,2,US-IL,Cook,L31219543,"7201 Archer Rd, Justice US-IL 41.76061, -87.82630",41.760612,-87.826302,2024-05-03,12:23 PM,eBird - Stationary Count,7,1,,,1,,"Continuing will add photos this weekend. Duck species with white eyering, pink legs, black belly, brown upperparts and chest, gray face.",,619004099 619004100 619004101,0
S158378254,Snow Goose,Anser caerulescens,257,1,US-IL,Cook,L587035,"Calvary Cemetery, Evanston",42.0246861,-87.6727867,2024-01-07,01:17 PM,eBird - Stationary Count,18,1,,,2,,"Continuing, will add photo. Foraging amongst canada geese. Messy plumage, looks closest to ""intermediate morph"" when compared to merlin bird id photos. Goose species with white head and neck and underbelly, brownish gray on the wings and back.",FOY snow goose for Dan and me. Continuing bird reported by many nice birders,613232576,1
S157739755,Ross's Goose,Anser rossii,261,3,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-01-01,11:45 AM,eBird - Traveling Count,45,1,1.609,,2,,"Continuing, photos",,612962177 612962178,2
S202924815,Greater White-fronted Goose,Anser albifrons,276,2,US-IL,Cook,L152641,"Gillson Park, Wilmette",42.078,-87.6819,2024-11-18,07:04 AM,eBird - Stationary Count,176,1,,,1,,Southbound. Photos.,"LW slight E winds around 8mph, missed CASW seen from NPM headed S. Slight fog and low 50s. Running out of time to break the record.",626423399,3
S168674942,Greater White-fronted Goose,Anser albifrons,276,1,US-IL,Cook,L294426,"Northerly Island, Chicago",41.8596139,-87.6085684,2024-04-14,05:53 PM,eBird - Stationary Count,14,1,,,1,,"Continuing. Smaller than canada geese, brown body, orange bill, white frontal face feathers, orange legs, white undertail, photo attached",,617402040,4
S160064730,Greater White-fronted Goose,Anser albifrons,276,4,US-IL,Cook,L11356834,Ridgeland Ave Fields and Fluddle,41.4743203,-87.7705823,2024-01-28,04:09 PM,eBird - Stationary Count,17,1,,,1,,"Thanks for the report Linda S! Counted 4 myself but left due to the cold. Phil and Jayne counted higher numbers. The field was uneven in terms of height, there were many canada geese, and the cold weather all combined to make counting additional ones very cumbersome. Needed to go due to distance home and cold.",,614118812 614118813 614118814,5
S202289039,Brant (Atlantic),Branta bernicla hrota,304,1,US-IL,Cook,L3934103,Park No. 566,41.7487879,-87.5365198,2024-11-12,06:25 AM,eBird - Stationary Count,268,1,,,4,,"""Photo evidence to be provided later."" - Demond. Spotted by Tarik flying northbound over lake roughly 50 feet from shore. Smaller goose species with all black head, thin white necklace, gray wings, white rear. Atlantic subspecies chosen due to pale belly and proximity towards Branta bernicla hrota's Fall migration flyway.     DM, TS, WG, and AS staked out for BLKI, POJA, REPH, HADU, and other rarities with the straight east winds and dip in temps to 40 degrees. At 9:47am, Tarik saw a smaller goose with an all black head and white necklace flying by and shouted ""What the ___ is that?"" to which the 3 birders with cameras fired off photos as the bird flew North over the water, slightly above eye-level. Andy was quickest to ID as BRAN. Demond's 276th Cook year bird, just a day after logging the county record CORA. Tarik's 292nd Cook year bird, placing him 2 away from breaking the county record.","15mp E winds with a cool 40 degrees at dawn. It's been a relatively warmer late Fall than typical. Tarik invited a few folks to lakewatch at 566 hoping for a critical Black-legged Kittiwake pickup for the Cook Big Year. Demond McDonald, Woody Goss, Tarik Shahzad and (later in the morning) Andy Sigler were present. While we failed to see Mike McBrien's 2 Pacific Loons from Lincoln Park waters (likely flew over downtown), we ended up with a jaw dropping Brant flyby and putdown in the Rainbow slip.",626178463 626178464,6
S157778454,Cackling Goose,Branta hutchinsii,319,2,US-IL,Cook,L22825788,CVS Pond (143rd and Wolf Rd),41.628916,-87.893293,2024-01-01,03:50 PM,eBird - Traveling Count,15,1,.098,,2,,,,,7
S157739755,Cackling Goose,Branta hutchinsii,319,2,US-IL,Cook,L357712,"Calumet Park, Chicago",41.7171656,-87.5294065,2024-01-01,11:45 AM,eBird - Traveling Count,45,1,1.609,,2,,,,612962184,8
S159922353,Canada Goose,Branta canadensis,330,X,US-IL,Cook,L28964928,"12926–12998 S Stony Island Ave, Chicago US-IL (41.6638,-87.5754)",41.663823,-87.575376,2024-01-27,10:35 AM,eBird - Stationary Count,25,1,,,1,,,,,9
