Species,PercOfChecklists,Count
Black-bellied Whistling-Duck,0.16,2
Snow Goose,0.16,1
Ross's Goose,0.16,3
Greater White-fronted Goose,0.49,7
Brant (Atlantic),0.16,1
Cackling Goose,0.33,4
Canada Goose,47.63,5361
Mute Swan,2.28,62
Trumpeter Swan,0.65,45
Tundra Swan,0.33,2
Trumpeter/Tundra Swan,0.16,3
swan sp.,0.33,6
Wood Duck,4.73,79
Blue-winged Teal,8.16,569
Northern Shoveler,3.1,195
Gadwall,1.63,36
American Wigeon,1.31,35
Mallard,53.51,2565
Mallard (Domestic type),0.98,6
American Wigeon x Mallard (hybrid),0.16,1
American Black Duck,1.31,14
Mallard/American Black Duck,0.16,1
Northern Pintail,2.61,1365
Mallard x Northern Pintail (hybrid),0.16,1
Green-winged Teal,4.4,156
Green-winged Teal (American),0.49,147
dabbling duck sp.,0.98,217
Canvasback,0.49,70
Redhead,5.87,441
Ring-necked Duck,0.98,19
Greater Scaup,6.04,511
Lesser Scaup,4.73,552
Greater/Lesser Scaup,2.12,178
Aythya sp.,1.47,432
Surf Scoter,1.31,36
White-winged Scoter,0.82,10
Black Scoter,1.63,19
Surf/Black Scoter,0.82,18
scoter sp.,0.16,1
Long-tailed Duck,2.45,157
Bufflehead,4.89,83
Common Goldeneye,7.18,302
Hooded Merganser,2.61,58
Common Merganser,3.1,83
Common Merganser (North American),0.16,16
Red-breasted Merganser,19.41,6712
Ruddy Duck,1.14,21
duck sp.,6.36,4406
waterfowl sp.,0.49,10
Northern Bobwhite,0.49,3
Wild Turkey,0.16,15
Ring-necked Pheasant,0.16,1
Rock Pigeon (Feral Pigeon),9.79,623
Eurasian Collared-Dove,0.33,3
Mourning Dove,18.11,588
pigeon/dove sp.,0.16,1
Yellow-billed Cuckoo,0.65,4
Black-billed Cuckoo,0.33,2
Yellow-billed/Black-billed Cuckoo,0.33,2
Common Nighthawk,1.47,12
Eastern Whip-poor-will,0.33,2
Chimney Swift,16.8,1159
Ruby-throated Hummingbird,1.63,15
King Rail,0.16,1
Virginia Rail,0.49,3
Sora,2.12,30
Common Gallinule,0.33,2
American Coot,4.08,340
Sandhill Crane,2.28,4837
Whooping Crane,0.16,1
American Avocet,1.14,51
Black-bellied Plover,1.14,13
American Golden-Plover,0.65,6
Black-bellied Plover/golden-plover sp.,0.16,1
Killdeer,28.87,2099
Semipalmated Plover,7.5,257
Piping Plover,12.07,174
Upland Sandpiper,0.49,3
Whimbrel,0.65,6
